担心	擔心	dan1xin1	to worry; feel anxious
机会	機會	ji1hui4	opportunity; chance; occasion
办法	辦法	ban4fa3	method; way (of doing something)
越	越	yue4	even more; the more; exceed
忘记	忘記	wang4ji4	forget
短	短	duan3	short (in length, duration, or height); lack
爷爷	爺爺	ye2ye5	(informal) father's father; paternal grandfather
变化	變化	bian4hua4	change
年级	年級	nian2ji2	grade; year (in school)
耳朵	耳朵	er3duo5	ear
放心	放心	fang4 xin1	relax; feel relieved; rest assured
作业	作業	zuo4ye4	school assignment; homework; task
有名	有名	you3ming2	famous; well-known
渴	渴	ke3	thirsty
刷牙	刷牙	shua1ya2	brush one's teeth
复习	復習	fu4xi2	revise; to review
刮风	刮風	gua1feng1	windy; to blow (wind)
