意识	意識	yi4shi5	realize; consciousness; awareness; sense
失踪	失蹤	shi1 zong1	be missing; be unaccounted for
灵魂	靈魂	ling2hun2	soul; spirit; conscience
档案	檔案	dang4'an4	file; record; archive
释放	釋放	shi4fang4	release; set free; liberate (a prisoner)
尴尬	尷尬	gan1ga4	awkward; embarrassed
指望	指望	zhi3wang4	hope for; count on; hope
擅长	擅長	shan4chang2	be good at; be expert in
痕迹	痕跡	hen2ji4	vestige; trace
嫉妒	嫉妒	ji2du4	to be jealous; to envy, covet; to hate; to begrudge
保密	保密	bao3 mi4	keep secret/confidential
眼神	眼神	yan3shen2	expression or emotion showing in one's eyes
亲密	親密	qin1mi4	intimate; close; familiarity
疾病	疾病	ji2bing4	disease; illness; sickness; ailment
强迫	強迫	qiang3po4	compel; to force
绝望	絕望	jue2 wang4	desperation; forlorn; hopeless
维持	維持	wei2chi2	maintain; preserve
迹象	跡象	ji4xiang4	mark; indication; sign
引擎	引擎	yin3qing2	engine
种族	種族	zhong3zu2	race; ethnicity
乐趣	樂趣	le4qu4	delight; pleasure; joy; fun
薪水	薪水	xin1shui3	salary; wage; pay; stipend
灵感	靈感	ling2gan3	inspiration; insight; a burst of creativity in scientific or artistic endeavor
装备	裝備	zhuang1bei4	equipment; to equip; to outfit
排除	排除	pai2chu2	eliminate; get rid of; remove
喉咙	喉嚨	hou2long2	throat; larynx
陷害	陷害	xian4hai4	cast blame on; to frame
来源	來源	lai2yuan2	source; originate
脆弱	脆弱	cui4ruo4	weak; fragile; flimsy; frail
崇拜	崇拜	chong2bai4	worship; adore
无能为力	無能為力	wu2 neng2 wei2 li4	incapable of action; powerless; impotent
明智	明智	ming2zhi4	wise
武装	武裝	wu3zhuang1	arms; equipment; to arm
意志	意志	yi4zhi4	will; willpower; determination
模式	模式	mo2shi4	model; pattern; method
额外	額外	e2wai4	extra; added; additional
清除	清除	qing1chu2	eliminate; get rid of
滋味	滋味	zi1wei4	taste; flavor; the way one feels
着迷	著迷	zhao2mi2	to be fascinated
贿赂	賄賂	hui4lu4	to bribe
推测	推測	tui1ce4	speculate; conjecture; surmise
坟墓	墳墓	fen2mu4	tomb; sepulcher
贵族	貴族	gui4zu2	lord; nobility; nobleman; noblewoman
预料	預料	yu4liao4	anticipate; to forecast; expectation
羞耻	羞恥	xiu1chi3	(a feeling of) shame
清洁	清潔	qing1jie2	clean; unpolluted; purity
报酬	報酬	bao4chou5	reward; remuneration
动静	動靜	dong4jing4	sound of activity; activity
带领	帶領	dai4ling3	to guide; to lead
思维	思維	si1wei2	(line) of thought; thinking
盗窃	盜竊	dao4qie4	steal; pilfer
福利	福利	fu2li4	material benefits; welfare; well-being
循环	循環	xun2huan2	circular cycle; loop; circulate
挖掘	挖掘	wa1jue2	excavate; dig; unearth
钞票	鈔票	chao1piao4	paper money; bill
童话	童話	tong2hua4	fairy tale
战略	戰略	zhan4lve4	strategy
阻碍	阻礙	zu3'ai4	obstruct; hinder; impede
流浪	流浪	liu2lang4	drift about; wander
遥远	遙遠	yao2yuan3	distant; remote
融化	融化	rong2hua4	melt; thaw; dissolve; blend into
缺陷	缺陷	que1xian4	a defect; a flaw; disfigurement
束缚	束縛	shu4fu4	to bind; restrict; to tie
分辨	分辨	fen1bian4	distinguish; differentiate; resolve
强制	強制	qiang2zhi4	enforce; control; coerce
折腾	折騰	zhe1teng5	toss from side to side (e.g. sleeplessly); do something over and over again; cause suffering; play crazy; screw around
辨认	辨認	bian4ren4	distinguish; identify; recognize
采集	採集	cai3ji2	gather; collect
旋律	旋律	xuan2lv4	melody; tune; rhythm
宽容	寬容	kuan1rong2	tolerant; lenient
期限	期限	qi1xian4	time limit; deadline; allotted time
探测	探測	tan4ce4	probe; take readings; detect; explore
值班	值班	zhi2 ban1	be on duty; work a shift
温和	溫和	wen1he2	moderate; warm; (-huo: lukewarm)
教养	教養	jiao4yang3	upbringing; education; bring up; nurture and train
抚摸	撫摸	fu3mo1	gently caress and stroke; to pet; to fondle
挑衅	挑舋	tiao3xin4	provoke; defiance
蔓延	蔓延	man4yan2	extend; spread; to creep
密封	密封	mi4feng1	seal up; pressurize
登录	登錄	deng1lu4	sign-in
畏惧	畏懼	wei4ju4	to fear; foreboding
侵略	侵略	qin1lve4	invasion; encroachment; invade
更新	更新	geng1xin1	to replace the old with new; to renew; to renovate; to upgrade; to update; to regenerate; to rejuvenate
徘徊	徘徊	pai2huai2	pace back and forth; hesitate; waver
捕捉	捕捉	bu3zhuo1	catch; to seize
救济	救濟	jiu4ji4	emergency relief; aid; help out in a disaster
隆重	隆重	long2zhong4	grand; prosperous; ceremonious
声誉	聲譽	sheng1yu4	reputation; fame
消耗	消耗	xiao1hao4	use up; consume
疲倦	疲倦	pi2juan4	tired; weary
缺席	缺席	que1 xi2	absence; absent; default
描绘	描繪	miao2hui4	describe; portray
考察	考察	kao3cha2	inspect; investigate; analyze
断绝	斷絕	duan4jue2	sever; break off
疏忽	疏忽	shu1hu5	neglect; overlook; negligence
草率	草率	cao3shuai4	cursory; careless; negligent; sloppy; not serious
储备	儲備	chu3bei4	reserves; store up
顾虑	顧慮	gu4lv4	misgivings; apprehensions
收缩	收縮	shou1suo1	pull back; shrink
话筒	話筒	hua4tong3	microphone; transmitter; megaphone
制裁	制裁	zhi4cai2	punish; (economic) sanctions
高峰	高峰	gao1feng1	peak; summit; apex
逼迫	逼迫	bi1po4	to force; compel; coerce
嚷	嚷	rang1, rang3	blurt out; shout
辫子	辮子	bian4zi5	plait; braid; pigtail
商标	商標	shang1biao1	trademark; logo
定期	定期	ding4qi1	regularly; at regular intervals
畅销	暢銷	chang4xiao1	best seller; chart-topping; very marketable
肖像	肖像	xiao4xiang4	portrait
剧烈	劇烈	ju4lie4	acute; violent; severe
辛勤	辛勤	xin1qin2	hardworking; diligent; industrious
卓越	卓越	zhuo2yue4	distinction; excellence; splendid
周期	周期	zhou1qi1	period; cycle; rhythm
高涨	高漲	gao1zhang3	upsurge; (tensions, etc.) run high
鉴别	鑒別	jian4bie2	differentiate; distinguish
谜语	謎語	mi2yu3	riddle; conundrum
搅拌	攪拌	jiao3ban4	stir; mix up
密度	密度	mi4du4	density; thickness; consistency
调料	調料	tiao2liao4	seasoning; flavoring
精华	精華	jing1hua2	elite; best feature; most important part of an object; essence; quintessence
显著	顯著	xian3zhu4	notable; marked; outstanding; remarkable
提拔	提拔	ti2ba2	promote to a higher job; elevate
告辞	告辭	gao4ci2	take leave; bid farewell
陶瓷	陶瓷	tao2ci2	ceramics; pottery and porcelain
腐朽	腐朽	fu3xiu3	rotten; decayed; decadent; degenerate
留恋	留戀	liu2lian4	be reluctant to leave
舆论	輿論	yu2lun4	public opinion
争端	爭端	zheng1duan1	dispute; controversy; conflict
编织	編織	bian1zhi1	to weave; to knit; to plait; to braid; to crochet
天然气	天然氣	tian1ran2qi4	natural gas
租赁	租賃	zu1lin4	rent; lease
缓和	緩和	huan3he2	alleviate; to moderate; to ease (tension)
一帆风顺	一帆風順	yi4fan1feng1shun4	(saying) smooth sailing
流通	流通	liu2tong1	circulate; currency
尖端	尖端	jian1duan1	highest peak; the tip; sharp pointed end; most advanced and sophisticated
压缩	壓縮	ya1suo1	to compress
泛滥	泛濫	fan4lan4	to be in flood; to overflow (the banks); to inundate; to spread unchecked
严禁	嚴禁	yan2jin4	strictly prohibit; forbid
应酬	應酬	ying4chou5	socialize with; a social engagement
庸俗	庸俗	yong1su2	filthy; vulgar; debased
枯萎	枯萎	ku1wei3	wither; withered
范畴	范疇	fan4chou2	category
解体	解體	jie3ti3	disintegrate
勤劳	勤勞	qin2lao2	hardworking; diligent; industrious
唯独	唯獨	wei2du2	only; just (i.e. it is only that ...); alone
嘈杂	嘈雜	cao2za2	noisy; raucous
凄凉	淒涼	qi1liang2	desolate; feel like no one likes you
配套	配套	pei4 tao4	form a complete set
压榨	壓榨	ya1zha4	to press; to squeeze; to extract juice, oil, etc. by squeezing
真挚	真摯	zhen1zhi4	sincere; sincerity; genuine
虚荣	虛榮	xu1rong2	vanity
悬挂	懸挂	xuan2gua4	suspend; hang; suspension (cable car)
空隙	空隙	kong4xi4	crack; gap between two objects
点缀	點綴	dian3zhui4	decorate; an ornament; beautify; embellish; be the finishing touch
一目了然	一目了然	yi2mu4liao3ran2	obvious at a glance
自力更生	自力更生	zi4 li4 geng1 sheng1	(idiom) self reliance
偏差	偏差	pian1cha1	bias; deviation
注释	注釋	zhu4shi4	annotate; annotation; note; make notes in the margin
追悼	追悼	zhui1dao4	mourning; memorial (service, etc.)
遏制	遏制	e4zhi4	keep within limits; contain; restrain; hold back
着重	著重	zhuo2zhong4	put emphasis on; to stress
湖泊	湖泊	hu2po1	lake
舒畅	舒暢	shu1chang4	happy; entirely free from worry
固然	固然	gu4ran2	admittedly; it is true that; indeed
截至	截至	jie2zhi4	up until; by (a specified time
威望	威望	wei1wang4	prestige
污蔑	污蔑	wu1mie4	to slander
启蒙	啟蒙	qi3meng2	enlighten; enlightenment； instruct the young; to initiate
合算	合算	he2suan4	worthwhile; reckon up
衣裳	衣裳	yi1shang5	clothes
实惠	實惠	shi2hui4	substantial material benefit; advantageous (deal)
见义勇为	見義勇為	jian4yi4yong3wei2	to see what is right and act courageously (idiom, from Analects); to stand up bravely for the truth; acting heroically in a just cause
取缔	取締	qu3di4	to ban; suppress
落实	落實	luo4shi2	workable; implement
效益	效益	xiao4yi4	benefit；results
聋哑	聾啞	long2ya3	deaf and dumb; deaf-mute
奠定	奠定	dian4ding4	establish; to found; to settle
